name,age_group,population
Canada_Quebec,65+,1365570
Canada_Saskatchewan,0-4,76982
Canada_Saskatchewan,5-19,235079
Canada_Saskatchewan,20-49,486096
Canada_Saskatchewan,50-64,249636
Canada_Saskatchewan,65+,172666
Canada_Yukon,0-4,2833
Canada_Yukon,5-19,6893
Canada_Yukon,20-49,18715
Canada_Yukon,50-64,8484
Canada_Yukon,65+,3067
Central_African_Republic,0-4,964057
Central_African_Republic,5-19,2254782
Central_African_Republic,20-49,1624299
Central_African_Republic,50-64,285745
Central_African_Republic,65+,111366
Chad,0-4,3612098
Chad,5-19,7748385
Chad,20-49,6913554
Chad,50-64,1181778
Chad,65+,414627
Chile,0-4,955729
Chile,5-19,3640085
Chile,20-49,8841392
Chile,50-64,3534969
Chile,65+,2742256
China,0-4,81625508
China,5-19,241735112
China,20-49,731334251
China,50-64,237450937
China,65+,128763072
China_Anhui,0-4,3742842
China_Anhui,5-19,11072000
China_Anhui,20-49,31717902
China_Anhui,50-64,9972577
China_Anhui,65+,6600730
China_Beijing,0-4,797404
China_Beijing,5-19,2296981
China_Beijing,20-49,12429150
China_Beijing,50-64,3525043
China_Beijing,65+,1752208
China_Chongqing,0-4,1497095
China_Chongqing,5-19,5288299
China_Chongqing,20-49,14274038
China_Chongqing,50-64,5879991
China_Chongqing,65+,3654720
China_Fujian,0-4,2317672
China_Fujian,5-19,6571679
China_Fujian,20-49,21381635
China_Fujian,50-64,5753283
China_Fujian,65+,3105604
China_Gansu,0-4,1517900
China_Gansu,5-19,5681987
China_Gansu,20-49,13678280
China_Gansu,50-64,3991389
China_Gansu,65+,2255455
China_Guangdong,0-4,6243860
China_Guangdong,5-19,22359370
China_Guangdong,20-49,61069483
China_Guangdong,50-64,13337737
China_Guangdong,65+,7613152
China_Guangxi,0-4,3740020
China_Guangxi,5-19,9686654
China_Guangxi,20-49,23635060
China_Guangxi,50-64,7152418
China_Guangxi,65+,4601540
China_Guizhou,0-4,2442107
China_Guizhou,5-19,8268003
China_Guizhou,20-49,17246454
China_Guizhou,50-64,5494339
China_Guizhou,65+,3401073
China_Hainan,0-4,653061
China_Hainan,5-19,1919661
China_Hainan,20-49,4664802
China_Hainan,50-64,1208535
China_Hainan,65+,750885
China_Hebei,0-4,5129499
China_Hebei,5-19,12416870
China_Hebei,20-49,38228647
China_Hebei,50-64,13995792
China_Hebei,65+,6437544
China_Heilongjiang,0-4,1479180
China_Heilongjiang,5-19,5752714
China_Heilongjiang,20-49,22089537
China_Heilongjiang,50-64,7969700
China_Heilongjiang,65+,3342674
China_Henan,0-4,7484385
China_Henan,5-19,19347773
China_Henan,20-49,48258363
China_Henan,50-64,16016432
China_Henan,65+,8614170
China_Hubei,0-4,3151466
China_Hubei,5-19,10083572
China_Hubei,20-49,31073757
China_Hubei,50-64,10856383
China_Hubei,65+,5540987
China_Hunan,0-4,4420239
China_Hunan,5-19,11831165
China_Hunan,20-49,34903200
China_Hunan,50-64,11630568
China_Hunan,65+,6878778
China_Inner_Mongolia,0-4,1184022
China_Inner_Mongolia,5-19,4084403
China_Inner_Mongolia,20-49,14351398
China_Inner_Mongolia,50-64,4584806
China_Inner_Mongolia,65+,1998790
China_Jiangsu,0-4,3907790
China_Jiangsu,5-19,12375026
China_Jiangsu,20-49,42610436
China_Jiangsu,50-64,15386051
China_Jiangsu,65+,9147161
China_Jiangxi,0-4,3713768
China_Jiangxi,5-19,9738694
China_Jiangxi,20-49,23166188
China_Jiangxi,50-64,6984205
China_Jiangxi,65+,3665259
China_Jilin,0-4,1137947
China_Jilin,5-19,4085814
China_Jilin,20-49,15667058
China_Jilin,50-64,5814543
China_Jilin,65+,2421041
China_Liaoning,0-4,1563027
China_Liaoning,5-19,6151763
China_Liaoning,20-49,23706992
China_Liaoning,50-64,10178069
China_Liaoning,65+,4797347
China_Ningxia,0-4,453447
China_Ningxia,5-19,1383055
China_Ningxia,20-49,3525923
China_Ningxia,50-64,878023
China_Ningxia,65+,442707
China_Qinghai,0-4,402554
China_Qinghai,5-19,1304534
China_Qinghai,20-49,3170791
China_Qinghai,50-64,709914
China_Qinghai,65+,379853
China_Shaanxi,0-4,2023773
China_Shaanxi,5-19,7109183
China_Shaanxi,20-49,20265955
China_Shaanxi,50-64,6805718
China_Shaanxi,65+,3384654
China_Shandong,0-4,5452999
China_Shandong,5-19,14971155
China_Shandong,20-49,52058760
China_Shandong,50-64,18930174
